project_name,engagement_type,activity_type,facilitator,description,academic_year,semester,end_semester,total_uno_students,total_uno_hours,total_k12_students,total_k12_hours,total_other_community_members,total_uno_faculty,total_economic_impact,other_details,outcomes,campus_partner,community_partner,mission,mission_type,status,address_line1,city,state,zip
VPA-UNO: Mourning Hope Grief Center Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Fall 2016,Fall 2016,2,2,0,0,2,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Mourning Hope Grief Center,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Ollie Webb Center Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Ollie Webb Center,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Omaha Public Library Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,4,2,0,0,4,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Omaha Public Library (OPL),Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Ombudsman Advocate Program Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,3,2,0,0,2,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Eastern Nebraska Office on Aging: Ombudsman Advocate Program in Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Partnership 4 Kids Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,2,2,0,0,3,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Partnership 4 Kids (P4K),Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Pathways to Compassion Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Fall 2016,Fall 2016,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Pathways to Compassion Hospice,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Pet Helpers Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Fall 2016,Fall 2016,3,2,0,0,2,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Pet Helpers Adoption Center,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Pueblo Animal Services Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,4,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Humane Society of the Pikes Peak Region: Pueblo Animal Services,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Refugee Empowerment Center Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Refugee Empowerment Center,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Riverside County Department of Animal Services Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Fall 2016,Fall 2016,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Riverside County Department of Animal Services,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Riverside County Department of Animal Services Time: 2017-18 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2017-18,Fall 2017,Fall 2017,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Riverside County Department of Animal Services,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Senior Companions Program Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,2,2,0,0,3,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Eastern Nebraska Office on Aging: Foster Grandparent Program in Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Siena Francis House Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Siena Francis House,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: The Upper Room Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Fall 2016,Fall 2016,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Swope Corridor Renaissance: The Upper Room,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: The Upper Room Time: 2017-18 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2017-18,Fall 2017,Fall 2017,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Swope Corridor Renaissance: The Upper Room,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: YMCA Association Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Fall 2016,Fall 2016,2,2,0,0,2,2,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),YMCA Association,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Westside Boys and Girls Club: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Fall 2016,Fall 2016,14,18,14,1,0,0,0,UNO Psych in Schools class met weekly with Boys & Girls Club-Westside Unit mentees. UNO students would work with B&G students and help support them on the HeadSprouts reading program. The B&G students were targeted students who were struggling with their reading and/or needed additional one-on-one support. ,N/A,"Psychology, Department of",Westside Boys and Girls Club,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Westside Boys and Girls Club: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),Dr. Brian McKevitt's Psychology in the Schools students at UNO are tutoring children in an after school program with Westside Boys and Girls Club.  UNO students will assess students in reading and implement interventions. UNO students acted as mentors for elementary students.,2017-18,Fall 2017,Fall 2017,14,17,15,0,0,0,0,N/A,N/A,"Psychology, Department of",Boys and Girls Club of the Midlands,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Women in Public Policy Week: Deeper in Debt: Student Debt is a Women's Issue: 2017-18 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Women hold nearly two-thirds of the outstanding student debt in the United States. The American Association of University Women (AAUW) recently published a 2017 report called ""Deeper in Debt: Women and Student Loans,"" which explores the question of how student debt became a women’s issue. This event will take a closer look at how student debt can affect women, particularly women of color, following graduation as they enter the workforce. AAUW helps shed light on intersected issues including the gender wage gap and provides a foundation of research and resources to our communities as we ask what can be done about student debt. Please address questions to Sapphire Andersen, AAUW Nebraska State Public Policy Chair, at andersensapphire@gmail.com.",2017-18,Spring 2018,Spring 2018,0,0,0,0,8,0,0,N/A,N/A,"Public Administration, School of",The American Association of University Women (AAUW),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
World Aids Day of Service: 2016-17 (001),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Phone-banked to potential donors,2016-17,Fall 2016,Fall 2016,21,20,0,0,0,2,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Nebraska Community Blood Bank,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
World Aids Day of Service: 2016-17 (003),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Packaged safe-sex kits,2016-17,Fall 2016,Fall 2016,19,20,0,0,0,2,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Douglas County Department of Health & Human Services,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
World Aids Day of Service: 2016-17 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Packaged and distributed safe-sex kits,2016-17,Fall 2016,Fall 2016,24,20,0,0,0,3,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Nebraska AIDS Project,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
World AIDS Day of Service: 2017-18 (005),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),We are providers of condoms to over 40 sites in North Omaha and the surrounding community. We need assistance with preparing our condom distribution bags and inventory of our swag items.,2017-18,Fall 2017,Fall 2017,8,26,0,0,0,0,0,N/A,pre-post surveys,Sigma Lambda Beta,Charles Drew Health Center,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
World AIDS Day of Service: 2017-18 (006),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"This year we will have students put together condom packets for STD Control. We use these condom packets in our clinic and our outreach sites. Each condom packet will have a variety of condoms, lube, education, and clinic information.",2017-18,Fall 2017,Fall 2017,11,18,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Douglas County Health Department,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
World Georgraphy: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Fall 2016,Fall 2016,16,20,0,0,0,0,0,N/A,N/A,Honors Program,Lutheran Family Services,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Young Black and Influential (YBI) Award consultation: 2017-18 (001),Knowledge/Info Sharing,Contract Services,Barbara Weitz Community Engagement Center (CEC),N/A,2017-18,Spring 2018,Spring 2018,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),North Omaha Neighborhood Alliance (YBI Awards consult),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Young Professionals Survey: 2016-17 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Fall 2016,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Greater Omaha Chamber of Commerce,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,
